Student Id,Quiz_1,Midterm_1,Assignment_1,Assignment_2,Assignment_3,Project,Presentation,Final_Exam_Marks,Total,Grade,Categories
1,2.34,6.78,4.56,3.24,4.56,5.67,7.89,24,59.04,C+,Pass
2,8.17,12.43,2.87,1.87,2.89,2.34,2.34,29,61.91,B-,Pass 
3,5.92,3.21,0.45,4.56,0.76,8.9,5.67,30,59.47,C+,Pass
4,1.45,9.87,3.12,2.34,3.01,1.23,1.23,33,55.25,C+,Pass
5,9.78,5.34,0.98,0.98,1.98,9.45,9.01,31,68.52,B,Distinction
6,3.21,11.09,4.32,3.76,4.32,3.78,3.45,35,68.93,B,Distinction
7,6.89,1.56,1.76,1.45,2.1,6.12,6.78,34,60.66,B-,Pass 
8,0.76,8.23,3.89,4.01,0.54,0.98,0.98,32,51.39,C,Pass
9,4.53,2.9,0.54,2.1,3.67,4.56,4.56,36,58.86,C+,Pass
10,7.32,14.67,2.34,0.65,1.32,7.89,8.9,39,82.09,A,Excellent
11,2.11,4.12,4.01,3.43,4.01,2.01,2.01,33,54.7,C,Pass
12,8.98,10.78,1.67,1.21,2.45,8.43,7.12,5,45.64,C-,Pass
13,5.67,0.45,3.45,4.32,0.89,5.32,5.32,35,60.42,B-,Pass 
14,1.23,7.12,0.21,2.76,3.21,1.76,1.76,33,51.05,C,Pass
15,9.01,13.89,2.98,0.54,1.76,9.01,9.45,36,82.64,A,Excellent
16,3.89,5.01,4.23,3.1,4.1,3.54,3.54,33,60.41,B-,Pass 
17,6.45,11.76,1.09,1.98,2.34,6.78,6.01,31,67.41,B,Distinction
18,0.32,2.32,3.76,4.09,0.43,0.21,0.21,32,43.34,D+,Fail
19,4.09,8.99,0.32,2.56,3.89,4.89,4.89,23,52.63,C,Pass
20,7.76,3.65,2.01,0.32,1.09,7.45,8.43,34,64.71,B-,Pass 
21,2.87,9.32,4.78,3.89,4.65,2.65,2.65,36,66.81,B,Distinction
22,8.54,4.98,1.43,1.09,2.56,8.21,7.56,38,72.37,B+,Distinction
23,5.01,10.65,3.1,4.45,0.21,5.43,5.43,9,43.28,D+,Fail
24,1.78,1.21,0.65,2.43,3.12,1.1,1.1,31,42.39,D+,Fail
25,9.45,6.87,2.56,0.76,1.54,9.67,9.67,34,74.52,B+,Distinction
26,3.12,12.54,4.89,3.12,4.78,3.32,3.32,36,71.09,B+,Distinction
27,6.78,3.98,1.32,1.65,2.01,6.01,6.45,34,62.2,B-,Pass 
28,0.65,9.65,3.67,4.78,0.32,0.54,0.54,32,52.15,C,Pass
29,4.32,5.32,0.76,2.01,3.98,4.21,4.21,27,51.81,C,Pass
30,7.09,11,2.23,0.21,1.65,7.76,8.21,25,63.15,B-,Pass 
31,2.76,2.67,4.56,3.54,4.23,2.87,2.87,28,51.5,C,Pass
32,8.43,8.34,1.87,1.32,2.76,8.09,7.34,34,72.15,B+,Distinction
33,5.2,14.01,3.54,4.23,0.12,5.09,5.09,36,73.28,B+,Distinction
34,1.87,4.78,0.09,2.87,3.54,1.45,1.45,39,55.05,C+,Pass
35,9.64,10.45,2.76,0.43,1.21,9.12,9.12,37,79.73,A-,Distinction
36,3.31,0.12,4.09,3.67,4.45,3.98,3.98,36,59.6,C+,Pass
37,6.98,6.89,1.98,1.54,2.87,6.45,6.22,35,67.93,B,Distinction
38,0.54,12.56,3.21,4.65,0.65,0.76,0.76,30,53.13,C,Pass
39,4.21,3.23,0.43,2.21,3.34,4.78,4.78,34,56.98,C+,Pass
40,7.88,9.9,2.1,0.89,1.1,7.34,7.01,38,74.22,B+,Distinction
41,2,5.57,4.45,3.21,4.21,2.22,2.22,30,53.88,C,Pass
42,6.45,4.78,4.21,3.89,3.45,7.32,8.23,22,60.33,B-,Pass 
43,2.89,8.21,3.76,4.56,4.01,8.45,6,34,71.88,B+,Distinction
44,8.76,5.43,4.45,3.45,3.56,6.89,6.45,35,73.99,B+,Distinction
45,4.01,7.32,3.89,4.01,4.23,4.56,9.01,36,73.03,B+,Distinction
46,0.98,3.56,3.45,3.78,3.89,9.01,5.34,34,64.01,B-,Pass 
47,7.32,6.89,4.12,4.32,4.32,5.23,8.9,31,72.1,B+,Distinction
48,2.1,2.45,3.56,3.12,3.67,8.67,4.76,32,60.33,B-,Pass 
49,5.67,9.01,4.01,4.09,4.56,6.45,6.89,36,76.68,A-,Distinction
50,1.32,4.32,3.32,3.56,3.21,4.89,4.56,37,62.18,B-,Pass 
51,9.54,8.76,3.12,4.45,4.45,7.12,9.34,36,82.78,A,Excellent
52,3.76,3.98,4.23,3.21,3.12,5.34,5.01,33,61.65,B-,Pass 
53,0.54,6.1,3.65,4.65,4.09,8.9,7.89,30,65.82,B,Distinction
54,6.78,2.87,4.34,3.34,3.23,6.01,4.32,26,56.89,C+,Pass
55,2.21,9.45,3.98,4.01,4.65,4.76,6.78,29,64.84,B-,Pass 
56,8.09,5.67,4.56,3.98,3.34,9.45,4.89,34,73.98,B+,Distinction
57,4.32,7.09,3.21,4.21,4.01,5.67,9.45,35,72.96,B+,Distinction
58,0.65,4.21,3.78,3.23,3.98,7.89,5.23,31,59.97,C+,Pass
59,7.01,8.34,4.09,4.78,4.21,6.23,7.56,39,81.22,A,Excellent
60,2.43,3.12,3.67,3.01,3.45,4.32,4.12,30,54.12,C,Pass
61,9.01,6.45,4.54,4.89,4.32,9.56,8.45,36,83.22,A,Excellent
62,3.1,2.98,3.01,3.9,3.12,5.98,6.01,38,66.1,B,Distinction
63,0.76,9.78,4.32,4.32,4.78,7.21,4.23,34,69.4,B,Distinction
64,5.43,5.01,3.23,3.12,3.01,4.1,9.12,32,65.02,B,Distinction
65,1.65,7.65,3.1,4.56,4.89,8.09,5.78,35,70.72,B+,Distinction
66,8.43,3.23,4.78,3.45,3.9,6.78,7.67,36,74.24,B+,Distinction
67,4.78,6.78,3.87,4.09,4.32,4.45,4.45,31,63.74,B-,Pass 
68,0.32,2.32,4.65,3.67,3.12,9.34,8.56,34,65.98,B,Distinction
69,7.89,8.54,3.34,4.01,4.56,5.12,6.23,35,74.69,B+,Distinction
70,2.56,4.56,3.56,3.56,3.45,7.56,4.1,35,64.35,B-,Pass 
71,6.12,7.21,4.09,4.45,4.09,4.01,9.56,30,69.53,B,Distinction
72,1.21,3.67,3.45,3.21,3.67,8.23,5.89,34,63.33,B-,Pass 
73,9.87,6.01,3.9,4.12,4.01,6.45,7.34,33,74.7,B+,Distinction
74,3.54,2.76,4.01,3.78,3.56,4.89,4.01,32,58.55,C+,Pass
75,0.21,9.12,3.21,4.23,4.45,9.12,8.78,31,70.12,B+,Distinction
76,5.98,5.89,4.45,3.89,3.21,5.43,6.67,34,69.52,B,Distinction
77,1.45,7.98,3.12,4.01,4.12,7.67,4.98,23,56.33,C+,Pass
78,8.65,4.01,3.78,3.23,3.78,4.56,9.67,24,61.68,B-,Pass 
79,4.21,8.43,4.01,4.32,4.23,8.78,5.45,21,60.43,B-,Pass 
80,0.89,3.45,3.23,3.98,3.89,6.01,7.23,22,50.68,C,Pass
81,6.34,6.23,3.89,4.56,4.01,4.23,4.34,34,67.6,B,Distinction
82,2.76,9.34,4.12,3.67,3.23,9.89,8.01,39,80.02,A,Excellent
83,8.54,10.23,3.78,4.12,3.21,8.76,8.56,34,81.2,A,Excellent
84,5.32,6.78,2.45,2.54,2.67,5.43,7.89,31,64.08,B-,Pass 
85,6.78,13.45,4.12,3.78,4.12,7.89,9.23,32,81.37,A,Excellent
